Data,Categoria,Valor
2026-01-01,Transporte,225.51
2026-01-01,Alimentação,138.85
2026-01-01,Alimentação,245.29
2026-01-03,Alimentação,106.03
2026-01-03,Alimentação,246.85
2026-01-05,Moradia,234.48
2026-01-06,Alimentação,57.35
2026-01-07,Transporte,166.78
2026-01-09,Moradia,297.6
2026-01-09,Lazer,24.42
2026-01-10,Lazer,72.68
2026-01-13,Transporte,135.0
2026-01-14,Transporte,154.81
2026-01-14,Transporte,104.78
2026-01-15,Moradia,262.62
2026-01-15,Saúde,155.19
2026-01-15,Alimentação,219.79
2026-01-17,Moradia,212.04
2026-01-18,Moradia,138.72
2026-01-18,Saúde,153.14
2026-01-18,Transporte,91.69
2026-01-19,Alimentação,44.28
2026-01-21,Saúde,180.25
2026-01-22,Moradia,95.85
2026-01-25,Alimentação,211.93
2026-01-25,Transporte,238.27
2026-01-25,Transporte,47.03
2026-01-26,Alimentação,241.02
2026-01-28,Transporte,129.09
2026-01-29,Lazer,26.64
2026-01-31,Alimentação,263.49
2026-01-31,Alimentação,230.24
2026-01-31,Alimentação,212.67
2026-02-03,Alimentação,271.16
2026-02-03,Lazer,100.59
2026-02-04,Saúde,123.04
2026-02-04,Moradia,197.49
2026-02-05,Alimentação,172.8
2026-02-06,Transporte,102.02
2026-02-08,Transporte,202.13
2026-02-08,Transporte,33.46
2026-02-09,Alimentação,81.74
2026-02-13,Moradia,281.85
2026-02-14,Lazer,51.74
2026-02-15,Lazer,90.92
2026-02-17,Alimentação,243.65
2026-02-19,Saúde,84.58
2026-02-20,Alimentação,57.25
2026-02-21,Transporte,221.67
2026-02-23,Moradia,228.77
2026-02-23,Moradia,115.76
2026-02-23,Saúde,56.88
2026-02-26,Alimentação,279.31
2026-02-27,Moradia,225.25
2026-02-28,Transporte,274.66
2026-02-28,Moradia,116.21
2026-03-02,Alimentação,39.18
2026-03-03,Transporte,219.88
2026-03-05,Alimentação,54.02
2026-03-05,Lazer,84.68
2026-03-08,Moradia,48.42
2026-03-08,Lazer,88.86
2026-03-08,Transporte,264.36
2026-03-09,Alimentação,57.79
2026-03-09,Alimentação,136.9
2026-03-09,Saúde,36.95
2026-03-09,Lazer,215.9
2026-03-10,Moradia,228.36
2026-03-12,Transporte,239.08
2026-03-13,Moradia,49.08
2026-03-14,Alimentação,246.4
2026-03-15,Transporte,88.33
2026-03-16,Moradia,138.9
2026-03-18,Transporte,281.67
2026-03-19,Alimentação,57.83
2026-03-20,Alimentação,280.07
2026-03-21,Transporte,188.0
2026-03-22,Transporte,217.43
2026-03-23,Alimentação,280.95
2026-03-24,Saúde,105.89
2026-03-26,Saúde,272.34
2026-03-28,Alimentação,267.14
2026-03-28,Alimentação,95.84
2026-03-29,Transporte,96.07
2026-03-31,Lazer,26.87
2026-04-01,Transporte,143.71
2026-04-02,Alimentação,66.29
2026-04-02,Lazer,298.13
2026-04-03,Moradia,26.16
2026-04-04,Lazer,225.27
2026-04-04,Alimentação,93.8
