ID_Funcionario,Departamento,Cargo,Salario,Tempo_Casa_Anos,Satisfacao_Trabalho
1,Marketing,Analista de Mídia,3725,1,1
2,Operações,Analista de Processos,8393,5,2
3,Financeiro,Contador,10522,7,1
4,Operações,Assistente de Logística,12651,6,1
5,Operações,Assistente de Logística,9100,5,1
6,Recursos Humanos,Recrutador,11496,4,5
7,Financeiro,Assistente,12507,2,3
8,Financeiro,Contador,11183,4,1
9,Financeiro,Analista Financeiro,8142,3,3
10,Operações,Assistente de Logística,11179,1,4
11,Marketing,Analista de Mídia,11708,8,2
12,Financeiro,Assistente,10839,5,4
13,Operações,Analista de Processos,12935,4,4
14,Recursos Humanos,Analista de DP,5705,8,5
15,Marketing,Copywriter,4569,7,2
16,Recursos Humanos,Recrutador,6944,2,4
17,Marketing,Designer,4560,1,4
18,Operações,Assistente de Logística,5827,4,2
19,Tecnologia,Analista de Dados,6920,8,2
20,Marketing,Copywriter,3801,2,4
21,Recursos Humanos,Analista de DP,4106,3,2
22,Operações,Analista de Processos,6670,1,4
23,Marketing,Copywriter,4199,1,4
24,Tecnologia,Desenvolvedor,8588,3,5
25,Tecnologia,Analista de Dados,12831,5,1
26,Financeiro,Analista Financeiro,3690,3,4
27,Financeiro,Contador,13992,1,3
28,Recursos Humanos,Recrutador,4480,1,1
29,Marketing,Designer,6475,8,1
30,Marketing,Designer,9602,2,1
31,Financeiro,Assistente,4684,3,5
32,Marketing,Designer,6827,2,4
33,Marketing,Copywriter,6894,3,5
34,Tecnologia,Analista de Dados,11819,7,4
35,Financeiro,Analista Financeiro,13757,1,5
36,Operações,Assistente de Logística,5316,8,5
37,Financeiro,Analista Financeiro,9354,2,3
38,Operações,Analista de Processos,10209,3,5
39,Tecnologia,Analista de Dados,4069,9,2
40,Recursos Humanos,Analista de DP,8942,7,3
41,Marketing,Designer,5395,4,5
42,Tecnologia,Desenvolvedor,6233,5,1
43,Marketing,Copywriter,7363,2,2
44,Recursos Humanos,Recrutador,10955,8,2
45,Recursos Humanos,Recrutador,7514,4,2
46,Tecnologia,Analista de Dados,5186,9,3
47,Recursos Humanos,Gerente de RH,6509,5,5
48,Operações,Supervisor,11306,9,5
49,Recursos Humanos,Analista de DP,3654,4,1
50,Marketing,Analista de Mídia,4909,5,1
51,Marketing,Designer,4284,9,2
52,Marketing,Designer,11596,8,1
53,Marketing,Copywriter,11060,3,3
54,Operações,Analista de Processos,10843,1,5
55,Financeiro,Assistente,10706,3,2
56,Tecnologia,Suporte,9096,4,1
57,Marketing,Analista de Mídia,9301,2,3
